age_difference,shared_interests,conversation_length,attractiveness_score_diff,second_date
6,1,26,3.18,0
3,0,15,1.25,0
7,6,52,2.95,1
4,6,20,4.89,0
6,7,37,2.43,1
9,4,13,4.53,0
2,2,10,2.17,0
6,7,20,1.75,0
7,5,33,3.23,0
4,2,7,3.34,0
3,0,24,4.32,0
7,2,40,1.15,0
7,4,23,2.5,0
2,2,30,2.86,0
5,0,7,3.84,0
4,4,23,0.22,0
1,9,24,4.97,0
7,6,36,2.35,1
5,6,11,1.4,0
1,8,56,4.42,0
4,9,45,3.74,0
0,9,37,4.77,0
9,2,44,1.65,0
5,6,43,2.76,1
8,0,22,2.86,0
0,3,44,4.9,0
9,3,5,0.38,0
2,4,15,1.53,0
6,6,32,0.95,1
3,6,29,1.34,1
8,3,54,2.43,0
2,6,27,1.86,1
4,2,35,1.97,0
2,5,34,4.22,0
6,1,46,4.65,0
4,9,39,0.35,1
8,8,11,1.04,0
6,4,20,3.36,0
1,5,30,1.79,0
3,3,52,1.27,0
8,9,56,1.48,1
1,6,53,1.61,1
9,8,6,4.24,0
8,6,5,0.68,0
9,0,52,3.54,0
4,0,16,2.76,0
1,8,9,1.48,0
3,8,41,2.1,1
6,3,36,1.28,0
7,8,59,3.06,0
2,2,13,0.41,0
0,6,45,0.03,1
3,5,39,3.14,0
1,7,23,0.97,1
7,8,52,0.35,1
3,4,20,1.98,0
1,0,7,0.25,0
5,2,24,4.43,0
5,9,28,0.14,1
9,7,58,2.89,1
3,5,37,2.19,0
5,7,28,3.36,0
1,8,56,1.64,1
9,3,15,0.78,0
1,0,53,4.91,0
9,0,12,4.19,0
3,9,40,4.3,0
7,3,42,1.25,0
6,6,44,0.19,1
8,1,24,1.52,0
7,2,39,2.69,0
4,0,52,1.63,0
1,4,29,4.14,0
4,0,39,1.36,0
7,7,29,4.83,0
9,0,33,2.29,0
8,0,22,4.21,0
8,1,50,0.97,0
0,1,22,2.06,0
8,5,6,3.5,0
6,6,58,0.69,1
8,4,39,0.66,0
7,0,20,4.85,0
0,0,45,3.57,0
7,2,40,0.21,0
7,1,37,1.99,0
2,4,8,2.17,0
0,9,37,3.72,0
7,5,18,1.25,0
2,6,25,0.92,1
2,3,52,0.4,0
0,6,24,2.14,1
4,7,12,3.44,0
9,0,11,0.29,0
6,5,7,4.58,0
9,7,21,2.21,1
8,4,37,1.2,0
6,3,52,0.47,0
8,1,16,0.91,0
7,5,55,4.67,0
